DrugBank ID,Doping,Similar Structure
DB00295,1,"DB00295, DB00318, DB01477, DB01466, DB11490, DB09209, DB01573, DB01480, DB01497, DB01568, DB01469, DB01452, DB01565, DB01512, DB01551, DB00844, DB06409, DB15341, DB00921, DB01450, DB01548, DB14146, DB06230, DB16072, DB16117, DB13454, DB09049, DB00704, DB01192, DB06800"
DB00296,0,"DB00296, DB00297, DB01002, DB00961, DB08987, DB00750, DB13082"
DB00297,0,"DB00296, DB00297, DB01002, DB00961, DB08987, DB00750, DB13082"
DB00298,0,"DB00298, DB09195"
DB00299,0,"DB00299, DB12531, DB06575, DB02495, DB17733, DB15651, DB04260, DB00426, DB00442, DB02489, DB00824"
DB00300,0,"DB00300, DB00718, DB14126, DB02222, DB14925, DB05020, DB13868, DB08843"
DB00301,0,"DB00301, DB00485, DB01147, DB00713, DB09319, DB00739, DB00948, DB01061, DB13506"
DB00302,0,"DB00302, DB00996, DB15264, DB12032, DB02878"
DB00303,0,"DB00303, DB00760, DB06211, DB16840, DB13028, DB01598, DB12587, DB05735, DB11191"
DB00304,0,"DB00304, DB12474, DB13866, DB00294, DB01493, DB01431, DB00367, DB00717, DB09389, DB03696, DB05212, DB09070, DB09371"
DB00305,0,"DB00305, DB06478, DB15372"
DB00306,0,"DB00306, DB00418, DB01352, DB00241, DB00237, DB13577, DB13770, DB00312, DB13253, DB01353, DB01351, DB01483, DB13229"
DB00307,0,"DB00307, DB02877, DB03466"
DB00308,0,DB00308
DB00309,0,"DB00309, DB00570, DB00541, DB17390, DB02868, DB12586, DB11641, DB00361, DB05168, DB11191, DB03614, DB00200, DB04877, DB11467, DB04803, DB16312, DB03469, DB12674, DB16186, DB05735, DB03317, DB02832, DB00615, DB03906, DB12755, DB13013, DB02667, DB02949, DB15413, DB15673"
DB00310,1,"DB00310, DB08046"
DB00311,1,"DB00311, DB08765"
DB00312,0,"DB00312, DB01353, DB00237, DB01351, DB00418, DB13770, DB00306, DB01483, DB00241, DB01352, DB00463, DB13577"
DB00313,0,"DB00313, DB13910, DB03993, DB05343, DB02406, DB03741, DB17706, DB01856, DB02938, DB08368, DB11936"
DB00314,0,"DB00314, DB08993, DB06827"
DB00315,0,DB00315
DB00316,0,"DB00316, DB15885, DB03783, DB08792"
DB00317,0,"DB00317, DB12183, DB12114, DB05424, DB11973, DB12174, DB11963, DB08916, DB14795, DB05294, DB00530, DB11737, DB17170, DB03365, DB02984, DB07249"
DB00318,0,"DB00318, DB01477, DB01466, DB00295, DB11490, DB09209, DB01573, DB01568, DB01480, DB01497, DB01469, DB01452, DB01551, DB06409, DB01565, DB01512, DB00844, DB15341, DB14146, DB16072, DB00921, DB01450, DB01548, DB16117, DB13454, DB06230, DB09049, DB00497, DB13458, DB01538"
DB00319,0,"DB00319, DB01061, DB00739, DB00415, DB00948, DB01053, DB13836, DB01060, DB00578, DB08795, DB13816, DB01604, DB13739, DB08559, DB07806, DB09320, DB01607, DB13506, DB01602, DB13693, DB13814, DB13686, DB12127, DB00417, DB09319, DB01603, DB01000, DB03658, DB00607, DB13337"
